Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
2523 Ne 134th St,Medic Response- 7 per Rule,2025-10-07 03:34:00,47.725459,-122.301573,POINT (-122.301573 47.725459),F250138919
1409 E Olive St,Aid Response,2025-10-07 03:32:00,47.616451,-122.314123,POINT (-122.314123 47.616451),F250138918
425 Queen Anne Ave N,Aid Response,2025-10-07 03:31:00,47.622394,-122.356727,POINT (-122.356727 47.622394),F250138917
1000 8th Ave,AFA4 - Auto Alarm 2 + 1 + 1,2025-10-07 03:07:00,47.607945,-122.328471,POINT (-122.328471 47.607945),F250138913
BOREN AVE N / MERCER ST,Aid Response,2025-10-07 03:06:00,47.624543,-122.335827,POINT (-122.335827 47.624543),F250138912
9029 16th Ave Sw,Alarm Bell,2025-10-07 02:50:00,47.522601,-122.355107,POINT (-122.355107 47.522601),F250138909
235 Bellevue Ave E,Aid Response,2025-10-07 02:43:00,47.620039,-122.326574,POINT (-122.326574 47.620039),F250138907
505 5th Ave S,Aid Response,2025-10-07 02:35:00,47.598313,-122.327671,POINT (-122.327671 47.598313),F250138904
220 10th Ave,Aid Response,2025-10-07 02:32:00,47.603682,-122.319409,POINT (-122.319409 47.603682),F250138903
2338 Rainier Ave S,Aid Response,2025-10-07 02:28:00,47.581913,-122.300869,POINT (-122.300869 47.581913),F250138901
108 2nd Ave S,Aid Response Yellow,2025-10-07 02:16:00,47.601681,-122.331562,POINT (-122.331562 47.601681),F250138900
1609 Harvard Ave,Auto Fire Alarm,2025-10-07 01:54:00,47.615321,-122.322132,POINT (-122.322132 47.615321),F250138897
100 20th Ave E,Aid Response,2025-10-07 01:50:00,47.618502,-122.306081,POINT (-122.306081 47.618502),F250138896
1039 6th Ave S,Aid Response,2025-10-07 01:45:00,47.593751,-122.325968,POINT (-122.325968 47.593751),F250138895
223 Yesler Way,Medic Response- Overdose,2025-10-07 01:24:00,47.601718,-122.331581,POINT (-122.331581 47.601718),F250138893
6911 12th Ave Ne,Aid Response,2025-10-07 01:16:00,47.678823,-122.315697,POINT (-122.315697 47.678823),F250138891
4550 42nd Ave Sw,Rescue Elevator,2025-10-07 01:12:00,47.562427,-122.385456,POINT (-122.385456 47.562427),F250138890
